starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 18:20:23 2023	1701915623	202	432	633	431
Wed Dec 06 18:26:57 2023	1701916017	133	501	633	387
Wed Dec 06 18:26:57 2023	1701916017	133	501	633	387
Wed Dec 06 18:23:14 2023	1701915794	512	122	634	91
Wed Dec 06 18:27:08 2023	1701916028	328	305	634	305
Wed Dec 06 18:20:41 2023	1701915641	228	406	634	315
Wed Dec 06 18:27:08 2023	1701916028	329	305	634	305
Wed Dec 06 18:24:48 2023	1701915888	198	436	634	141
Wed Dec 06 18:23:45 2023	1701915825	134	500	634	241
Wed Dec 06 18:21:33 2023	1701915693	257	377	634	241
Wed Dec 06 18:21:34 2023	1701915694	370	264	635	230
Wed Dec 06 18:27:07 2023	1701916027	565	70	635	67
Wed Dec 06 18:21:34 2023	1701915694	370	264	635	230
Wed Dec 06 18:21:33 2023	1701915693	258	377	635	241
Wed Dec 06 18:21:33 2023	1701915693	258	377	635	241
Wed Dec 06 18:27:09 2023	1701916029	301	334	635	248
Wed Dec 06 18:23:14 2023	1701915794	512	123	635	101
Wed Dec 06 18:24:43 2023	1701915883	49	586	635	255
Wed Dec 06 18:24:43 2023	1701915883	49	587	636	252
Wed Dec 06 18:20:41 2023	1701915641	229	406	636	315
Wed Dec 06 18:23:30 2023	1701915810	319	317	636	162
Wed Dec 06 18:23:30 2023	1701915810	319	317	636	161
Wed Dec 06 18:23:30 2023	1701915810	319	317	636	161
Wed Dec 06 18:24:43 2023	1701915883	49	587	636	255
Wed Dec 06 18:23:08 2023	1701915788	217	419	636	416
Wed Dec 06 18:24:48 2023	1701915888	201	436	636	196
Wed Dec 06 18:23:09 2023	1701915789	56	580	636	131
Wed Dec 06 18:24:43 2023	1701915883	49	587	636	255
Wed Dec 06 18:20:21 2023	1701915621	298	338	636	332
Wed Dec 06 18:20:21 2023	1701915621	298	338	636	338
Wed Dec 06 18:23:09 2023	1701915789	57	580	636	175
Wed Dec 06 18:25:38 2023	1701915938	357	280	637	276
Wed Dec 06 18:21:25 2023	1701915685	155	482	637	124
Wed Dec 06 18:21:25 2023	1701915685	155	482	637	124
Wed Dec 06 18:20:22 2023	1701915622	207	430	637	235
Wed Dec 06 18:20:41 2023	1701915641	229	408	637	406
Wed Dec 06 18:20:41 2023	1701915641	230	408	637	406
Wed Dec 06 18:22:50 2023	1701915770	27	610	637	177
Wed Dec 06 18:21:29 2023	1701915689	367	271	637	271
Wed Dec 06 18:25:15 2023	1701915915	145	493	637	377
Wed Dec 06 18:23:09 2023	1701915789	56	581	638	176
Wed Dec 06 18:23:09 2023	1701915789	56	581	638	176
Wed Dec 06 18:23:32 2023	1701915812	89	549	638	287
Wed Dec 06 18:23:09 2023	1701915789	57	581	638	179
Wed Dec 06 18:23:32 2023	1701915812	89	549	638	287
Wed Dec 06 18:26:16 2023	1701915976	326	312	638	312
Wed Dec 06 18:21:52 2023	1701915712	178	461	639	304
Wed Dec 06 18:26:16 2023	1701915976	326	313	639	312
Wed Dec 06 18:22:40 2023	1701915760	392	247	639	67
