starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 18:31:46 2023	1701916306	8	53	61	15
Wed Dec 06 18:30:52 2023	1701916252	24	38	61	13
Wed Dec 06 18:30:58 2023	1701916258	24	38	61	37
Wed Dec 06 18:31:38 2023	1701916298	15	46	61	21
Wed Dec 06 18:30:58 2023	1701916258	36	25	61	25
Wed Dec 06 18:30:56 2023	1701916256	21	40	61	40
Wed Dec 06 18:31:16 2023	1701916276	26	35	61	29
Wed Dec 06 18:31:23 2023	1701916283	11	50	62	42
Wed Dec 06 18:31:38 2023	1701916298	15	46	62	20
Wed Dec 06 18:31:28 2023	1701916288	33	29	62	23
Wed Dec 06 18:31:22 2023	1701916282	26	35	62	25
Wed Dec 06 18:31:38 2023	1701916298	44	17	62	12
Wed Dec 06 18:31:39 2023	1701916299	26	36	62	34
Wed Dec 06 18:31:19 2023	1701916279	34	28	62	26
Wed Dec 06 18:30:56 2023	1701916256	21	40	62	40
Wed Dec 06 18:31:38 2023	1701916298	45	17	62	12
Wed Dec 06 18:31:44 2023	1701916304	12	49	62	18
Wed Dec 06 18:30:58 2023	1701916258	23	38	62	37
Wed Dec 06 18:30:58 2023	1701916258	23	38	62	37
Wed Dec 06 18:31:09 2023	1701916269	34	27	62	24
Wed Dec 06 18:30:58 2023	1701916258	13	49	62	24
Wed Dec 06 18:31:28 2023	1701916288	45	17	62	14
Wed Dec 06 18:31:43 2023	1701916303	27	35	62	32
Wed Dec 06 18:31:43 2023	1701916303	31	31	62	21
Wed Dec 06 18:31:22 2023	1701916282	26	36	62	35
Wed Dec 06 18:31:27 2023	1701916287	17	45	62	34
Wed Dec 06 18:31:38 2023	1701916298	29	33	62	33
Wed Dec 06 18:31:45 2023	1701916305	12	49	62	49
Wed Dec 06 18:31:05 2023	1701916265	26	36	62	35
Wed Dec 06 18:31:28 2023	1701916288	45	16	62	14
Wed Dec 06 18:31:20 2023	1701916280	22	40	62	24
Wed Dec 06 18:31:45 2023	1701916305	39	23	62	19
Wed Dec 06 18:31:17 2023	1701916277	38	24	62	23
Wed Dec 06 18:31:20 2023	1701916280	22	40	62	35
Wed Dec 06 18:31:19 2023	1701916279	37	25	62	25
Wed Dec 06 18:30:58 2023	1701916258	13	49	62	25
Wed Dec 06 18:30:58 2023	1701916258	38	24	62	24
Wed Dec 06 18:30:48 2023	1701916248	21	42	62	39
Wed Dec 06 18:30:56 2023	1701916256	22	41	62	41
Wed Dec 06 18:31:40 2023	1701916300	28	34	62	21
Wed Dec 06 18:31:09 2023	1701916269	37	25	62	23
Wed Dec 06 18:31:07 2023	1701916267	39	24	62	21
Wed Dec 06 18:31:46 2023	1701916306	25	37	62	25
Wed Dec 06 18:31:31 2023	1701916291	15	48	62	11
Wed Dec 06 18:30:58 2023	1701916258	25	37	62	36
Wed Dec 06 18:30:58 2023	1701916258	37	25	62	24
Wed Dec 06 18:31:05 2023	1701916265	26	37	62	35
Wed Dec 06 18:31:46 2023	1701916306	25	37	62	26
Wed Dec 06 18:31:38 2023	1701916298	16	46	62	46
Wed Dec 06 18:31:29 2023	1701916289	18	45	62	44
Wed Dec 06 18:31:09 2023	1701916269	36	27	62	23
Wed Dec 06 18:31:27 2023	1701916287	39	23	62	22
Wed Dec 06 18:31:06 2023	1701916266	41	21	62	17
Wed Dec 06 18:31:31 2023	1701916291	23	39	62	30
Wed Dec 06 18:31:20 2023	1701916280	33	30	62	23
Wed Dec 06 18:31:07 2023	1701916267	11	51	62	43
Wed Dec 06 18:31:23 2023	1701916283	24	39	62	15
Wed Dec 06 18:31:20 2023	1701916280	33	29	62	23
Wed Dec 06 18:31:20 2023	1701916280	33	29	62	23
Wed Dec 06 18:31:01 2023	1701916261	26	37	63	29
Wed Dec 06 18:31:10 2023	1701916270	44	19	63	15
Wed Dec 06 18:31:25 2023	1701916285	24	38	63	35
Wed Dec 06 18:31:10 2023	1701916270	16	47	63	45
Wed Dec 06 18:31:10 2023	1701916270	44	19	63	15
Wed Dec 06 18:30:58 2023	1701916258	34	28	63	26
Wed Dec 06 18:30:48 2023	1701916248	21	41	63	41
Wed Dec 06 18:31:10 2023	1701916270	44	19	63	17
Wed Dec 06 18:31:28 2023	1701916288	40	23	63	22
Wed Dec 06 18:31:08 2023	1701916268	28	35	63	26
Wed Dec 06 18:31:28 2023	1701916288	34	29	63	23
Wed Dec 06 18:31:22 2023	1701916282	41	22	63	21
Wed Dec 06 18:31:06 2023	1701916266	37	26	63	25
Wed Dec 06 18:31:06 2023	1701916266	37	26	63	25
Wed Dec 06 18:30:52 2023	1701916252	24	39	63	38
Wed Dec 06 18:31:34 2023	1701916294	31	32	63	13
Wed Dec 06 18:31:09 2023	1701916269	25	38	63	38
Wed Dec 06 18:31:09 2023	1701916269	25	38	63	38
Wed Dec 06 18:30:58 2023	1701916258	35	28	63	26
Wed Dec 06 18:31:27 2023	1701916287	40	23	63	22
Wed Dec 06 18:31:22 2023	1701916282	17	46	63	31
Wed Dec 06 18:31:18 2023	1701916278	14	49	63	46
Wed Dec 06 18:31:27 2023	1701916287	18	45	63	44
Wed Dec 06 18:30:58 2023	1701916258	37	26	63	25
Wed Dec 06 18:30:48 2023	1701916248	27	36	63	36
Wed Dec 06 18:31:39 2023	1701916299	31	32	63	32
Wed Dec 06 18:31:27 2023	1701916287	18	45	63	44
Wed Dec 06 18:31:28 2023	1701916288	34	29	63	23
Wed Dec 06 18:30:58 2023	1701916258	37	26	63	26
Wed Dec 06 18:31:05 2023	1701916265	13	50	63	50
Wed Dec 06 18:31:31 2023	1701916291	22	41	63	40
Wed Dec 06 18:31:24 2023	1701916284	36	27	63	24
Wed Dec 06 18:31:43 2023	1701916303	27	36	63	22
Wed Dec 06 18:31:28 2023	1701916288	43	20	63	18
Wed Dec 06 18:31:09 2023	1701916269	33	30	63	16
Wed Dec 06 18:31:22 2023	1701916282	12	51	63	25
Wed Dec 06 18:31:28 2023	1701916288	44	20	63	18
Wed Dec 06 18:31:09 2023	1701916269	33	30	63	30
Wed Dec 06 18:31:46 2023	1701916306	10	53	63	13
Wed Dec 06 18:31:32 2023	1701916292	35	29	63	20
Wed Dec 06 18:30:48 2023	1701916248	27	37	63	36
Wed Dec 06 18:31:45 2023	1701916305	21	42	63	40
Wed Dec 06 18:30:58 2023	1701916258	13	50	63	38
Wed Dec 06 18:31:38 2023	1701916298	44	20	63	13
Wed Dec 06 18:31:39 2023	1701916299	26	37	63	37
Wed Dec 06 18:31:19 2023	1701916279	36	28	63	25
Wed Dec 06 18:31:06 2023	1701916266	31	33	63	13
Wed Dec 06 18:31:39 2023	1701916299	28	36	63	34
Wed Dec 06 18:30:58 2023	1701916258	25	39	64	39
Wed Dec 06 18:30:52 2023	1701916252	26	38	64	12
Wed Dec 06 18:31:22 2023	1701916282	16	48	64	30
Wed Dec 06 18:30:56 2023	1701916256	25	39	64	14
Wed Dec 06 18:30:56 2023	1701916256	25	39	64	17
Wed Dec 06 18:31:43 2023	1701916303	31	33	64	18
